path,ex0,ey0,ex1,ey1,ex2,ey2,ex3,ey3,ex4,ey4,ex5,ey5,lane
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280163_000000.jpg,0.949,0.034,1.819,0.044,2.689,0.054,3.604,0.065,4.474,0.075,5.390,0.086,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280163_000001.jpg,0.947,0.034,1.817,0.044,2.687,0.054,3.602,0.065,4.472,0.075,5.388,0.086,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000002.jpg,0.940,0.035,1.810,0.046,2.680,0.056,3.595,0.067,4.465,0.078,5.381,0.089,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000003.jpg,0.925,0.037,1.795,0.048,2.664,0.059,3.580,0.071,4.450,0.082,5.366,0.094,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000004.jpg,0.903,0.039,1.773,0.052,2.642,0.064,3.558,0.077,4.428,0.089,5.343,0.102,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000005.jpg,0.872,0.045,1.741,0.059,2.611,0.072,3.527,0.087,4.397,0.101,5.312,0.116,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000006.jpg,0.835,0.050,1.704,0.066,2.574,0.082,3.489,0.098,4.359,0.114,5.275,0.131,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000007.jpg,0.971,0.060,1.841,0.078,2.711,0.096,3.626,0.115,4.496,0.134,5.366,0.152,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000008.jpg,0.914,0.069,1.784,0.090,2.653,0.111,3.569,0.133,4.438,0.155,5.308,0.176,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280164_000009.jpg,0.832,0.081,1.702,0.106,2.571,0.131,3.487,0.158,4.356,0.183,5.226,0.208,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280165_000012.jpg,0.823,0.140,1.738,0.185,2.607,0.227,3.521,0.271,4.390,0.314,5.259,0.356,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280165_000013.jpg,0.881,0.165,1.796,0.215,2.664,0.263,3.533,0.311,4.447,0.361,5.316,0.408,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280165_000015.jpg,0.792,0.189,1.661,0.241,2.575,0.296,3.443,0.348,4.357,0.403,5.180,0.452,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280165_000016.jpg,0.846,0.199,1.714,0.251,2.628,0.305,3.497,0.357,4.365,0.409,5.233,0.460,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000021.jpg,0.915,0.152,1.831,0.172,2.700,0.191,3.570,0.210,4.440,0.229,5.263,0.292,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000022.jpg,0.940,0.144,1.856,0.159,2.725,0.173,3.595,0.188,5.347,0.361,6.168,0.420,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000023.jpg,0.780,0.134,1.695,0.145,2.565,0.156,3.435,0.167,5.187,0.332,6.009,0.388,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000024.jpg,0.786,0.123,1.701,0.129,2.571,0.135,3.441,0.141,4.265,0.192,5.089,0.243,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000025.jpg,0.806,0.118,1.676,0.122,2.592,0.126,3.462,0.130,4.285,0.180,5.109,0.229,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000026.jpg,0.990,0.123,1.860,0.128,2.730,0.134,3.600,0.139,4.424,0.189,5.247,0.285,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000027.jpg,0.991,0.124,1.861,0.129,2.731,0.134,4.484,0.288,5.306,0.337,5.878,0.372,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000028.jpg,1.006,0.125,1.876,0.130,2.746,0.135,3.570,0.185,4.394,0.236,5.218,0.331,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000029.jpg,0.839,0.135,1.709,0.144,2.579,0.152,3.402,0.206,4.226,0.260,5.049,0.359,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280166_000030.jpg,0.789,0.153,1.705,0.169,2.574,0.183,3.398,0.243,4.221,0.302,5.877,0.564,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280167_000031.jpg,0.801,0.168,1.717,0.189,2.540,0.207,3.409,0.272,4.861,0.432,4.961,0.489,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280167_000035.jpg,0.824,0.217,1.694,0.247,2.516,0.320,3.338,0.393,4.990,0.682,5.513,0.777,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280167_000036.jpg,0.834,0.224,1.658,0.251,2.526,0.326,3.975,0.503,4.076,0.561,5.726,0.896,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280167_000037.jpg,0.798,0.229,1.668,0.258,2.490,0.331,3.311,0.450,4.964,0.740,5.688,0.946,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280167_000038.jpg,0.810,0.225,2.559,0.420,3.379,0.489,3.950,0.538,4.928,0.763,5.657,0.968,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000040.jpg,0.801,0.204,1.624,0.263,2.447,0.322,4.104,0.583,4.629,0.669,5.563,0.972,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000041.jpg,0.768,0.194,1.638,0.249,3.091,0.394,3.192,0.449,4.850,0.747,5.533,0.982,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000042.jpg,1.831,0.331,2.653,0.380,3.225,0.415,4.208,0.616,4.942,0.803,5.627,1.080,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000043.jpg,0.915,0.216,1.739,0.261,2.563,0.352,3.296,0.488,4.911,0.813,5.598,1.086,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000044.jpg,0.911,0.208,1.735,0.250,3.396,0.478,3.924,0.553,4.863,0.837,6.218,1.430,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000045.jpg,0.923,0.210,2.378,0.335,2.480,0.388,4.142,0.664,4.828,0.890,5.516,1.207,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000046.jpg,0.871,0.210,1.696,0.299,3.359,0.530,4.089,0.710,5.445,1.259,5.467,1.254,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000048.jpg,0.814,0.254,1.638,0.343,2.371,0.478,3.986,0.798,4.675,1.070,6.030,1.711,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280168_000049.jpg,0.825,0.254,2.486,0.483,3.013,0.559,3.953,0.844,5.307,1.438,5.327,1.478,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000050.jpg,1.449,0.334,1.551,0.387,3.213,0.662,3.899,0.888,4.587,1.206,5.944,1.847,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000051.jpg,0.784,0.298,2.447,0.528,3.178,0.708,4.533,1.257,4.555,1.252,5.908,1.937,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000052.jpg,0.933,0.339,1.666,0.473,3.282,0.790,3.970,1.061,5.327,1.699,5.970,2.062,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000053.jpg,0.764,0.324,1.498,0.453,3.116,0.761,3.806,1.027,5.166,1.657,5.812,2.015,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000054.jpg,1.616,0.438,2.144,0.506,3.088,0.778,4.450,1.354,4.471,1.394,5.791,2.062,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000057.jpg,0.589,0.277,1.581,0.430,2.324,0.580,3.021,0.823,4.398,1.359,4.796,1.579,1
