t,x,y,yaw,steer,l,r
0.0,1.294,-22.809,-0.0069,0,0,0
0.1,1.294,-22.809,-0.0069,0,0,0
0.21,-1.001,-22.761,1.5639,0,0,0
0.31,1.294,-22.809,-0.0069,0,0,0
0.41,1.294,-22.809,-0.0069,0,0,0
0.52,-1.001,-22.761,1.5639,0,0,0
0.62,1.294,-22.809,-0.0069,0,0,0
0.72,1.294,-22.809,-0.0069,0,0,0
0.82,1.294,-22.809,-0.0069,0,0,0
0.93,1.294,-22.809,-0.0069,0,0,0
1.04,-1.001,-22.761,1.5639,0,0,0
1.14,-1.001,-22.761,1.5639,0,0,0
1.25,-1.001,-22.761,1.5639,0,0,0
1.36,-1.001,-22.761,1.5639,0,0,0
1.46,-1.001,-22.761,1.5639,0,0,0
1.56,-1.001,-22.761,1.5639,0,0,0
1.67,1.294,-22.809,-0.0069,0,0,0
1.77,1.294,-22.809,-0.0069,0,0,0
1.87,1.294,-22.809,-0.0069,0,0,0
1.98,-1.001,-22.761,1.5639,0,0,0
2.08,-1.001,-22.761,1.5639,0,0,0
2.18,-1.001,-22.761,1.5639,0,0,0
2.28,-1.001,-22.761,1.5639,0,0,0
2.39,-1.001,-22.761,1.5639,0,0,0
2.49,-1.001,-22.761,1.5639,0,0,0
2.59,-1.001,-22.761,1.5639,0,0,0
2.7,1.294,-22.809,-0.0069,0,0,0
2.81,1.294,-22.809,-0.0069,0,0,0
2.91,-1.001,-22.761,1.5639,0,0,0
3.02,-1.001,-22.761,1.5639,0,0,0
3.12,1.294,-22.809,-0.0069,0,0,0
3.22,1.294,-22.809,-0.0069,0,0,0
3.32,1.294,-22.809,-0.0069,0,0,0
3.43,-1.001,-22.761,1.5639,0,0,0
3.53,1.294,-22.809,-0.0069,0,0,0
3.63,1.294,-22.809,-0.0069,0,0,0
3.74,1.294,-22.809,-0.0069,0,0,0
3.84,1.294,-22.809,-0.0069,0,0,0
3.94,-1.001,-22.761,1.5639,0,0,0
4.05,-1.001,-22.761,1.5639,0,0,0
4.15,1.294,-22.809,-0.0069,0,0,0
4.26,1.294,-22.809,-0.0069,0,0,0
4.36,1.294,-22.809,-0.0069,0,0,0
4.46,-1.001,-22.761,1.5639,0,0,0
4.56,1.294,-22.809,-0.0069,0,0,0
4.66,1.294,-22.809,-0.0069,0,0,0
4.76,1.294,-22.809,-0.0069,0,0,0
4.87,1.294,-22.809,-0.0069,0,0,0
4.97,-1.001,-22.761,1.5639,0,0,0
5.07,1.294,-22.809,-0.0069,0,0,0
5.17,1.294,-22.809,-0.0069,0,0,0
5.27,1.294,-22.809,-0.0069,0,0,0
5.37,1.294,-22.809,-0.0069,0,0,0
5.48,-1.001,-22.761,1.5639,0,0,0
5.58,1.294,-22.809,-0.0069,0,0,0
5.69,1.294,-22.809,-0.0069,0,0,0
5.79,1.294,-22.809,-0.0069,0,0,0
5.89,1.294,-22.809,-0.0069,0,0,0
6.0,-1.001,-22.761,1.5639,0,0,0
6.1,-1.001,-22.761,1.5639,0,0,0
6.21,-1.001,-22.761,1.5639,0,0,0
6.31,-1.001,-22.761,1.5639,0,0,0
6.41,-1.001,-22.761,1.5639,0,0,0
6.51,-1.001,-22.761,1.5639,0,0,0
6.62,-1.001,-22.761,1.5639,0,0,0
6.72,-1.001,-22.761,1.5639,0,0,0
6.83,-1.001,-22.761,1.5639,0,0,0
6.93,1.294,-22.809,-0.0069,0,0,0
7.04,-1.001,-22.761,1.5639,0,0,0
7.14,-1.001,-22.761,1.5639,0,0,0
7.25,1.294,-22.809,-0.0069,0,0,0
7.35,-1.001,-22.761,1.5639,0,0,0
7.46,-1.001,-22.761,1.5639,0,0,0
7.57,-1.001,-22.761,1.5639,0,0,0
7.67,-1.001,-22.761,1.5639,0,0,0
7.78,-1.001,-22.761,1.5639,0,0,0
7.88,-1.001,-22.761,1.5639,0,0,0
7.99,-1.001,-22.761,1.5639,0,0,0
8.1,-1.001,-22.761,1.5639,0,0,0
8.2,-1.001,-22.761,1.5639,0,0,0
8.3,1.294,-22.809,-0.0069,0,0,0
8.4,-1.001,-22.761,1.5639,0,0,0
8.51,-1.001,-22.761,1.5639,0,0,0
8.61,1.294,-22.809,-0.0069,0,0,0
8.71,1.294,-22.809,-0.0069,0,0,0
8.81,1.294,-22.809,-0.0069,0,0,0
8.92,-1.001,-22.761,1.5639,0,0,0
9.02,1.294,-22.809,-0.0069,0,0,0
9.12,1.294,-22.809,-0.0069,0,0,0
9.22,-1.001,-22.761,1.5639,0,0,0
9.33,1.294,-22.809,-0.0069,0,0,0
9.43,-1.001,-22.761,1.5639,0,0,0
9.54,1.294,-22.809,-0.0069,0,0,0
9.64,-1.001,-22.761,1.5639,0,0,0
9.74,-1.001,-22.761,1.5639,0,0,0
9.85,1.294,-22.809,-0.0069,0,0,0
9.95,-1.001,-22.761,1.5639,0,0,0
10.05,-1.001,-22.761,1.5639,0,0,0
10.15,1.294,-22.809,-0.0069,0,0,0
10.25,1.294,-22.809,-0.0069,0,0,0
10.35,1.294,-22.809,-0.0069,0,0,0
10.46,1.294,-22.809,-0.0069,0,0,0
10.56,-1.001,-22.761,1.5639,0,0,0
10.66,1.294,-22.809,-0.0069,0,0,0
10.77,1.294,-22.809,-0.0069,0,0,0
